location_id,sex_id,age_group_id,measurement,val,sample_size,hiv_positive
179,1,149,HIV_prev_national,0.0014,4365,6
179,1,150,HIV_prev_national,0.0043,3525,15
179,1,151,HIV_prev_national,0.011,2542,28
179,1,14,HIV_prev_national,0.016,949,15.184
179,1,0,HIV_prev_national,0.005639575,11381,64.184
179,2,149,HIV_prev_national,0.0027,5173,14
179,2,150,HIV_prev_national,0.0146,4530,66
179,2,151,HIV_prev_national,0.0246,2723,67
179,2,14,HIV_prev_national,0.019,872,16.568
179,2,0,HIV_prev_national,0.012300196,13298,163.568
179,3,0,HIV_prev_national,0.009228575,24679,227.752
180,1,149,HIV_prev_national,0.0055,2870,15.785
180,1,150,HIV_prev_national,0.027,2870,77.49
180,1,151,HIV_prev_national,0.053,2870,152.11
180,1,14,HIV_prev_national,0.083,1435,119.105
180,1,0,HIV_prev_national,0.036285714,10045,364.49
180,2,149,HIV_prev_national,0.023,2870,66.01
180,2,150,HIV_prev_national,0.0725,2870,208.075
180,2,151,HIV_prev_national,0.103,2870,295.61
180,2,14,HIV_prev_national,0.106,1435,152.11
180,2,0,HIV_prev_national,0.071857143,10045,721.805
180,3,0,HIV_prev_national,0.054071429,20090,1086.295
190,1,149,HIV_prev_national,0.008,4897,41
190,1,150,HIV_prev_national,0.045,3017,136
190,1,151,HIV_prev_national,0.099,2095,208
190,1,14,HIV_prev_national,0.14,845,118
190,1,0,HIV_prev_national,0.046342362,10854,503
190,2,149,HIV_prev_national,0.034,6348,215
190,2,150,HIV_prev_national,0.098,4598,450
190,2,151,HIV_prev_national,0.125,2787,347
190,2,14,HIV_prev_national,0.128,983,125.824
190,2,0,HIV_prev_national,0.077318837,14716,1137.824
190,3,0,HIV_prev_national,0.064169887,25570,1640.824
196,1,149,HIV_prev_national,0.034,924,31.416
196,1,150,HIV_prev_national,0.177,618,109.386
196,1,151,HIV_prev_national,0.266,486,129.276
196,1,14,HIV_prev_national,0.194,331,64.214
196,1,0,HIV_prev_national,0.141709199,2359,334.292
196,2,149,HIV_prev_national,0.116,832,96.512
196,2,150,HIV_prev_national,0.36,813,292.68
196,2,151,HIV_prev_national,0.403,598,240.994
196,2,14,HIV_prev_national,0.199,487,96.913
196,2,0,HIV_prev_national,0.26633663,2730,727.099
196,3,0,HIV_prev_national,0.20856573,5089,1061.391
