"age_group_id","location_id","sex_id","mean","upper","lower"
14,179,1,1297.03813068134,1494.6221167224,1114.6456085216
14,179,2,1990.48448494254,2294.76075246986,1710.1190838437
149,179,1,1338.82712356793,1544.44728289345,1151.04310902087
149,179,2,2103.62557789915,2424.93440253582,1807.00222284645
150,179,1,1346.31608387156,1553.43161147562,1157.83300205641
150,179,2,3687.5512520935,4251.93834636264,3169.31995163053
151,179,1,2472.19087330684,2850.29727402056,2125.24443380228
151,179,2,5174.34034981364,5963.02322778368,4446.0478271671
14,180,1,2220.01577502252,2599.98607879453,1877.25553159621
14,180,2,3116.7654569441,3753.55745631279,2450.21438351545
149,180,1,1412.93176853835,1663.28088830547,1204.3020397966
149,180,2,2947.19009721351,3466.74977887857,2510.19748772045
150,180,1,2548.46611052882,2997.88532572595,2170.13329899627
150,180,2,6567.37732423291,7730.55364485899,5597.2829510909
151,180,1,4725.68454112007,5569.64967982396,4022.05023856692
151,180,2,8001.25153980145,9458.12060198189,6770.02508102959
14,190,1,2141.61397810202,2414.00488736329,1880.98807033735
14,190,2,1930.50063357664,2647.03734079709,1310.22513418977
149,190,1,1303.80294616398,1474.36909918095,1146.03020036724
149,190,2,3711.79249870229,4197.51189424135,3262.67488890438
150,190,1,3408.82981026249,3854.79748810123,2996.5692347301
150,190,2,8142.95288881485,9254.03474012722,6981.70935940042
151,190,1,5112.77749994607,5761.87379954153,4494.93646444457
151,190,2,6012.06539051319,7455.17817810171,4535.00443821116
14,196,1,10616.9098101197,13032.3119344144,8062.43164381157
14,196,2,9566.72479369348,12738.4837691733,6799.42955289792
149,196,1,3385.08747586166,3877.01055476185,2916.13873382659
149,196,2,12564.8732113859,14382.2771493431,10834.6699727056
150,196,1,18529.4864921227,21198.2892586444,15989.0478431435
150,196,2,42117.5050518338,48226.9008188302,36271.077608644
151,196,1,30174.3708737817,34858.4525582534,25599.2881469545
151,196,2,35886.0681608861,43792.5021549747,27646.9178615202
