"age_group_id","location_id","sex_id","mean","upper","lower"
14,179,1,7715.74657348674,10952.1112497357,5095.03998588271
14,179,2,5759.27993168059,8273.17386732254,3594.03550505831
149,179,1,31055.5369361357,42857.3648751628,21178.0916926577
149,179,2,31750.5035359533,44700.8637352635,21211.3463214342
150,179,1,27576.842986154,36578.8540704526,18935.1995035574
150,179,2,26862.5279261494,36902.8315128985,18080.2025424319
151,179,1,19405.8531706586,25105.7764962798,13997.9660625389
151,179,2,18441.0697098936,24638.6332191298,12825.0935220234
14,180,1,6967.78952324825,10088.6492667812,4457.95034193227
14,180,2,4974.11166138959,7322.00865274777,3075.79376260457
149,180,1,17631.5674365233,24843.8005835529,12060.6471886867
149,180,2,18459.1873408364,26157.6456241322,12628.6330511377
150,180,1,17417.6305763693,23942.4572198144,11762.7541075084
150,180,2,21603.6810531114,30720.5443785572,14342.1242832776
151,180,1,16811.5378051185,22255.4704698895,11811.2250938125
151,180,2,16552.2914389922,22911.9492275916,11235.8835756902
14,190,1,4019.80789233193,5450.43339630775,2803.72030447708
14,190,2,2155.25962313216,3064.89580412669,1455.73808815324
149,190,1,16501.1808048447,21765.6803426041,12007.3388309793
149,190,2,16925.941425257,22932.834380931,11896.8410980654
150,190,1,13247.3479661368,17132.992752419,9353.31030446728
150,190,2,13017.6387804997,17310.1441673059,9103.25046598469
151,190,1,9939.19020547555,12349.2895738723,7583.4948566476
151,190,2,6767.22546260499,8535.62966509571,5038.67066945215
14,196,1,12780.6615382031,16845.0338958611,9084.96587829575
14,196,2,10698.2614219238,14388.828294788,7554.83446117788
149,196,1,28674.8766850299,37641.3534247312,20395.6108970884
149,196,2,62719.7548359421,81840.1757127244,43772.0820249614
150,196,1,49240.3622106647,63829.8682734375,35102.9895719555
150,196,2,79842.1468518359,103515.163183555,57193.3683343776
151,196,1,40945.4553476803,51631.6700788417,30404.1112149651
151,196,2,41517.7184286924,52924.1892599225,30842.3859054053
