location,age,sex,year,mean,2.50%,97.50%
Ethiopia,15_to_25,Female,2019,222048.5733,192801.3858,256613.32
Ethiopia,15_to_25,Male,2019,258094.2632,224618.7207,298396.5009
Ethiopia,25_to_35,Female,2019,132614.9467,114246.7983,153238.0928
Ethiopia,25_to_35,Male,2019,119249.2793,99921.72078,141056.2419
Ethiopia,35_to_45,Female,2019,105672.1493,91124.27106,122322.5126
Ethiopia,35_to_45,Male,2019,88583.66748,75244.784,103478.186
Ethiopia,45_to_50,Female,2019,33928.72326,28987.97449,39212.74828
Ethiopia,45_to_50,Male,2019,35998.57714,31011.24101,42149.52808
Kenya,15_to_25,Female,2019,143169.0651,122645.2754,168741.1626
Kenya,15_to_25,Male,2019,156188.4994,134924.6699,183727.1999
Kenya,25_to_35,Female,2019,82260.7164,68879.08837,97188.40737
Kenya,25_to_35,Male,2019,73313.23472,59443.46891,89130.04951
Kenya,35_to_45,Female,2019,72252.6724,61356.28623,86396.15184
Kenya,35_to_45,Male,2019,60239.9169,49773.46065,71682.84676
Kenya,45_to_50,Female,2019,25527.73652,21490.52344,30326.54963
Kenya,45_to_50,Male,2019,25910.27385,21722.22158,30843.81175
South Africa,15_to_25,Female,2019,162374.3025,141688.289,184621.3239
South Africa,15_to_25,Male,2019,172369.9446,149296.4417,197906.9499
South Africa,25_to_35,Female,2019,145784.0466,126842.863,166739.8623
South Africa,25_to_35,Male,2019,149298.8024,126445.0498,172716.3693
South Africa,35_to_45,Female,2019,118244.1063,102095.2108,136895.8552
South Africa,35_to_45,Male,2019,113858.8954,97180.30628,130474.0064
South Africa,45_to_50,Female,2019,52732.7811,44667.68027,61686.95936
South Africa,45_to_50,Male,2019,44041.09466,37823.27624,51007.13165
Uganda,15_to_25,Female,2019,117426.0691,102572.0827,133989.9372
Uganda,15_to_25,Male,2019,121931.9525,106827.5828,139173.5371
Uganda,25_to_35,Female,2019,70965.70812,61835.71123,80958.16294
Uganda,25_to_35,Male,2019,53452.19227,44705.46566,62026.57667
Uganda,35_to_45,Female,2019,51367.25077,44827.25682,58709.73355
Uganda,35_to_45,Male,2019,38777.29703,33633.63611,44543.07436
Uganda,45_to_50,Female,2019,18107.50117,15681.68799,20700.46233
Uganda,45_to_50,Male,2019,16559.47856,14251.56526,18947.55107
