location,age,sex,year,mean,2.5%,97.5%
Ethiopia,15_to_25,Female,2019,0.019348837764070006,0.016800300401049094,0.02236073586743462
Ethiopia,15_to_25,Male,2019,0.022070638021972264,0.019208014996282517,0.025517038149142766
Ethiopia,25_to_35,Female,2019,0.016775393864700838,0.014451878070252295,0.019384160122636482
Ethiopia,25_to_35,Male,2019,0.015944918052196055,0.01336061449202303,0.018860744747165037
Ethiopia,35_to_45,Female,2019,0.019649407549782408,0.016944274834324695,0.02274549082301389
Ethiopia,35_to_45,Male,2019,0.017224465694206978,0.014630814431843933,0.020120599152653247
Ethiopia,45_to_50,Female,2019,0.020419151062115476,0.017445685341801943,0.02359920898232842
Ethiopia,45_to_50,Male,2019,0.020386065615418166,0.017561727272302142,0.023869361325919745
Kenya,15_to_25,Female,2019,0.026465946135629415,0.02267195955020602,0.031193152780645397
Kenya,15_to_25,Male,2019,0.028846366809811036,0.024919161991486593,0.033932474034727045
Kenya,25_to_35,Female,2019,0.02051574872026717,0.017178382720968645,0.024238701430784604
Kenya,25_to_35,Male,2019,0.019403184215612976,0.01573239241200459,0.023589284750199287
Kenya,35_to_45,Female,2019,0.025929167831912635,0.022018804151180082,0.03100480918754003
Kenya,35_to_45,Male,2019,0.02212467708737448,0.018280598661111293,0.026327390851651884
Kenya,45_to_50,Female,2019,0.026670278755237233,0.022452372552614824,0.03168387184098886
Kenya,45_to_50,Male,2019,0.026733194587935646,0.022412128086840098,0.03182342363952042
South Africa,15_to_25,Female,2019,0.03589644559302775,0.0313233429143046,0.04081464372314027
South Africa,15_to_25,Male,2019,0.03684713858638932,0.03191476733456751,0.04230612723613261
South Africa,25_to_35,Female,2019,0.02831337580666353,0.024634723296002903,0.03238329908892975
South Africa,25_to_35,Male,2019,0.028596622454781506,0.02421922543635817,0.033082012216271196
South Africa,35_to_45,Female,2019,0.03026740343960253,0.026133707896974803,0.03504176407351729
South Africa,35_to_45,Male,2019,0.028648976474108096,0.024452338999995032,0.032829641694067414
South Africa,45_to_50,Female,2019,0.03377123726579658,0.02860616862578342,0.039505690710877873
South Africa,45_to_50,Male,2019,0.03062405082438982,0.026300480106342637,0.035467896615240205
Uganda,15_to_25,Female,2019,0.02648660209975033,0.023136139711207853,0.030222745066479123
Uganda,15_to_25,Male,2019,0.028406793472783937,0.024887890490178054,0.03242360878501691
Uganda,25_to_35,Female,2019,0.024131623569143792,0.021027002281965513,0.027529520450734382
Uganda,25_to_35,Male,2019,0.020630975509611137,0.01725499606249442,0.02394043592842114
Uganda,35_to_45,Female,2019,0.02844740151763757,0.02482552510618342,0.03251369965089139
Uganda,35_to_45,Male,2019,0.024085498311398366,0.02089064859832924,0.027666759278142716
Uganda,45_to_50,Female,2019,0.028805368730404974,0.024946391038079364,0.03293024501347636
Uganda,45_to_50,Male,2019,0.028597538539977117,0.024611867169052865,0.03272164155804794
